hidden_size,attention_head_size,dropout,hidden_continuous_size,learning_rate,roc_auc,pr_auc,best_threshold,best_f1,precision,recall,confusion_matrix
16,1,0.1,8,0.0003,0.9120121173066474,0.7179125981899899,0.88541955,0.7319587578998832,0.6960784313384275,0.7717391303928403,"(np.int64(3379), np.int64(62), np.int64(42), np.int64(142))"
16,1,0.1,16,0.0003,0.8501391468607458,0.6763403598647697,0.8812951,0.6989247261833739,0.6914893616653462,0.7065217390920369,"(np.int64(3383), np.int64(58), np.int64(54), np.int64(130))"
16,1,0.2,8,0.0003,0.88992235573582,0.731444380675363,0.9224296,0.7191600999926979,0.6954314720459172,0.7445652173508388,"(np.int64(3381), np.int64(60), np.int64(47), np.int64(137))"
16,1,0.2,16,0.0003,0.8620858761987795,0.6967077254593124,0.54231596,0.7309644620268495,0.6857142856816326,0.7826086956096407,"(np.int64(3375), np.int64(66), np.int64(40), np.int64(144))"
16,4,0.1,8,0.0003,0.9153739117799427,0.6687412121450527,0.89593536,0.67303102132706,0.5999999999744681,0.7663043477844399,"(np.int64(3347), np.int64(94), np.int64(43), np.int64(141))"
16,4,0.1,16,0.0003,0.8295411470376406,0.6960986321903898,0.71115404,0.7392550093414668,0.7818181817707989,0.7010869564836365,"(np.int64(3405), np.int64(36), np.int64(55), np.int64(129))"
16,4,0.2,8,0.0003,0.9525423916202317,0.7086975418284488,0.7882687,0.6736842057800333,0.5498281786752636,0.8695652173440453,"(np.int64(3310), np.int64(131), np.int64(24), np.int64(160))"
16,4,0.2,16,0.0003,0.9027969940487472,0.7657304899106215,0.9244254,0.7374301626016667,0.7586206896115735,0.7173913043088374,"(np.int64(3399), np.int64(42), np.int64(52), np.int64(132))"
32,1,0.1,8,0.0003,0.9254900938806969,0.7624074283827533,0.8385591,0.7294685940955449,0.6565217391018904,0.8206521738684428,"(np.int64(3362), np.int64(79), np.int64(33), np.int64(151))"
32,1,0.1,16,0.0003,0.870314651959112,0.7238023178456972,0.7631842,0.7292225151081371,0.7195767195386467,0.7391304347424386,"(np.int64(3388), np.int64(53), np.int64(48), np.int64(136))"
32,1,0.2,8,0.0003,0.8277737765816308,0.6378685647977778,0.6328208,0.6834170804555442,0.6355140186618918,0.7391304347424386,"(np.int64(3363), np.int64(78), np.int64(48), np.int64(136))"
32,1,0.2,16,0.0003,0.8858964153494308,0.6936730013317991,0.83789974,0.7012345629429662,0.6425339366225098,0.7717391303928403,"(np.int64(3362), np.int64(79), np.int64(42), np.int64(142))"
32,4,0.1,8,0.0003,0.9284183376925313,0.717121633963244,0.75382584,0.724705877442879,0.6390041493510786,0.8369565216936437,"(np.int64(3354), np.int64(87), np.int64(30), np.int64(154))"
32,4,0.1,16,0.0003,0.8353739433683334,0.6408096971049332,0.89442354,0.6813186763192851,0.6888888888506173,0.6739130434416352,"(np.int64(3385), np.int64(56), np.int64(60), np.int64(124))"
32,4,0.2,8,0.0003,0.7896876539934043,0.6639870397629652,0.87780476,0.695156690168424,0.7305389221119437,0.6630434782248346,"(np.int64(3396), np.int64(45), np.int64(62), np.int64(122))"
32,4,0.2,16,0.0003,0.8483559822094182,0.7313910750658914,0.5246092,0.7329842882004333,0.7070707070349964,0.7608695651760397,"(np.int64(3383), np.int64(58), np.int64(44), np.int64(140))"
