Start date;End date;Volume (+) [MWh] Calculated resolutions;Volume (-) [MWh] Calculated resolutions;Price [€/MWh] Calculated resolutions;Net income [€] Calculated resolutions
May 1, 2019 12:00 AM;May 1, 2019 1:00 AM;1,784.00;0.00;60.07;-
May 1, 2019 1:00 AM;May 1, 2019 2:00 AM;1,399.00;0.00;54.88;-
May 1, 2019 2:00 AM;May 1, 2019 3:00 AM;769.00;0.00;51.85;-
May 1, 2019 3:00 AM;May 1, 2019 4:00 AM;399.00;0.00;48.78;-
May 1, 2019 4:00 AM;May 1, 2019 5:00 AM;635.00;0.00;50.08;-
May 1, 2019 5:00 AM;May 1, 2019 6:00 AM;202.00;-269.00;27.77;-
May 1, 2019 6:00 AM;May 1, 2019 7:00 AM;0.00;-191.00;19.80;-
May 1, 2019 7:00 AM;May 1, 2019 8:00 AM;39.00;-21.00;32.20;-
May 1, 2019 8:00 AM;May 1, 2019 9:00 AM;304.00;0.00;28.41;-
May 1, 2019 9:00 AM;May 1, 2019 10:00 AM;0.00;-555.00;19.28;-
May 1, 2019 10:00 AM;May 1, 2019 11:00 AM;441.00;0.00;27.65;-
May 1, 2019 11:00 AM;May 1, 2019 12:00 PM;281.00;0.00;23.52;-
May 1, 2019 12:00 PM;May 1, 2019 1:00 PM;35.00;-103.00;20.16;-
May 1, 2019 1:00 PM;May 1, 2019 2:00 PM;0.00;-379.00;-14.20;-
May 1, 2019 2:00 PM;May 1, 2019 3:00 PM;0.00;-672.00;-1.99;-
May 1, 2019 3:00 PM;May 1, 2019 4:00 PM;0.00;-1,514.00;-74.07;-
May 1, 2019 4:00 PM;May 1, 2019 5:00 PM;19.00;-367.00;-70.99;-
May 1, 2019 5:00 PM;May 1, 2019 6:00 PM;243.00;-23.00;23.67;-
May 1, 2019 6:00 PM;May 1, 2019 7:00 PM;195.00;-238.00;29.58;-
May 1, 2019 7:00 PM;May 1, 2019 8:00 PM;536.00;0.00;40.43;-
May 1, 2019 8:00 PM;May 1, 2019 9:00 PM;833.00;0.00;39.97;-
May 1, 2019 9:00 PM;May 1, 2019 10:00 PM;990.00;0.00;51.89;-
May 1, 2019 10:00 PM;May 1, 2019 11:00 PM;921.00;0.00;49.53;-
May 1, 2019 11:00 PM;May 2, 2019 12:00 AM;81.00;-55.00;33.81;-
May 2, 2019 12:00 AM;May 2, 2019 1:00 AM;0.00;-463.00;16.98;-
May 2, 2019 1:00 AM;May 2, 2019 2:00 AM;28.00;-176.00;26.26;-
May 2, 2019 2:00 AM;May 2, 2019 3:00 AM;0.00;-270.00;21.31;-
May 2, 2019 3:00 AM;May 2, 2019 4:00 AM;67.00;-79.00;31.93;-
May 2, 2019 4:00 AM;May 2, 2019 5:00 AM;222.00;-25.00;39.07;-
May 2, 2019 5:00 AM;May 2, 2019 6:00 AM;200.00;-35.00;41.66;-
May 2, 2019 6:00 AM;May 2, 2019 7:00 AM;151.00;-91.00;11.83;-
May 2, 2019 7:00 AM;May 2, 2019 8:00 AM;959.00;0.00;57.62;-
May 2, 2019 8:00 AM;May 2, 2019 9:00 AM;978.00;0.00;57.91;-
May 2, 2019 9:00 AM;May 2, 2019 10:00 AM;870.00;0.00;58.36;-
May 2, 2019 10:00 AM;May 2, 2019 11:00 AM;186.00;-196.00;31.54;-
May 2, 2019 11:00 AM;May 2, 2019 12:00 PM;0.00;-863.00;21.18;-
May 2, 2019 12:00 PM;May 2, 2019 1:00 PM;170.00;-14.00;41.37;-
May 2, 2019 1:00 PM;May 2, 2019 2:00 PM;613.00;0.00;43.26;-
May 2, 2019 2:00 PM;May 2, 2019 3:00 PM;0.00;-411.00;17.22;-
May 2, 2019 3:00 PM;May 2, 2019 4:00 PM;927.00;0.00;44.55;-
May 2, 2019 4:00 PM;May 2, 2019 5:00 PM;3.00;-129.00;1.40;-
May 2, 2019 5:00 PM;May 2, 2019 6:00 PM;776.00;0.00;51.67;-
May 2, 2019 6:00 PM;May 2, 2019 7:00 PM;1,370.00;0.00;58.12;-
May 2, 2019 7:00 PM;May 2, 2019 8:00 PM;151.00;-127.00;57.11;-
May 2, 2019 8:00 PM;May 2, 2019 9:00 PM;0.00;-722.00;25.66;-
May 2, 2019 9:00 PM;May 2, 2019 10:00 PM;56.00;-84.00;21.40;-
May 2, 2019 10:00 PM;May 2, 2019 11:00 PM;0.00;-159.00;-2.62;-
May 2, 2019 11:00 PM;May 3, 2019 12:00 AM;298.00;-12.00;37.22;-
May 3, 2019 12:00 AM;May 3, 2019 1:00 AM;37.00;-108.00;25.16;-
May 3, 2019 1:00 AM;May 3, 2019 2:00 AM;0.00;-175.00;21.65;-
May 3, 2019 2:00 AM;May 3, 2019 3:00 AM;473.00;0.00;46.56;-
May 3, 2019 3:00 AM;May 3, 2019 4:00 AM;487.00;0.00;42.43;-
May 3, 2019 4:00 AM;May 3, 2019 5:00 AM;394.00;0.00;37.72;-
May 3, 2019 5:00 AM;May 3, 2019 6:00 AM;272.00;0.00;44.13;-
May 3, 2019 6:00 AM;May 3, 2019 7:00 AM;1,220.00;0.00;53.48;-
May 3, 2019 7:00 AM;May 3, 2019 8:00 AM;1,717.00;0.00;86.22;-
May 3, 2019 8:00 AM;May 3, 2019 9:00 AM;377.00;-80.00;77.72;-
May 3, 2019 9:00 AM;May 3, 2019 10:00 AM;0.00;-1,435.00;16.39;-
May 3, 2019 10:00 AM;May 3, 2019 11:00 AM;90.00;-306.00;37.39;-
May 3, 2019 11:00 AM;May 3, 2019 12:00 PM;506.00;0.00;58.55;-
May 3, 2019 12:00 PM;May 3, 2019 1:00 PM;0.00;-405.00;20.53;-
May 3, 2019 1:00 PM;May 3, 2019 2:00 PM;0.00;-884.00;19.99;-
May 3, 2019 2:00 PM;May 3, 2019 3:00 PM;175.00;-42.00;14.97;-
May 3, 2019 3:00 PM;May 3, 2019 4:00 PM;11.00;-367.00;22.66;-
May 3, 2019 4:00 PM;May 3, 2019 5:00 PM;34.00;-255.00;27.12;-
May 3, 2019 5:00 PM;May 3, 2019 6:00 PM;160.00;-76.00;47.36;-
May 3, 2019 6:00 PM;May 3, 2019 7:00 PM;1,174.00;0.00;59.64;-
May 3, 2019 7:00 PM;May 3, 2019 8:00 PM;730.00;0.00;60.81;-
May 3, 2019 8:00 PM;May 3, 2019 9:00 PM;0.00;-280.00;3.84;-
May 3, 2019 9:00 PM;May 3, 2019 10:00 PM;110.00;-246.00;34.42;-
May 3, 2019 10:00 PM;May 3, 2019 11:00 PM;331.00;0.00;50.74;-
May 3, 2019 11:00 PM;May 4, 2019 12:00 AM;489.00;0.00;48.77;-
May 4, 2019 12:00 AM;May 4, 2019 1:00 AM;562.00;0.00;47.19;-
May 4, 2019 1:00 AM;May 4, 2019 2:00 AM;0.00;-337.00;18.05;-
May 4, 2019 2:00 AM;May 4, 2019 3:00 AM;0.00;-815.00;19.91;-
May 4, 2019 3:00 AM;May 4, 2019 4:00 AM;0.00;-244.00;21.61;-
May 4, 2019 4:00 AM;May 4, 2019 5:00 AM;0.00;-382.00;19.86;-
May 4, 2019 5:00 AM;May 4, 2019 6:00 AM;0.00;-600.00;16.55;-
May 4, 2019 6:00 AM;May 4, 2019 7:00 AM;0.00;-317.00;16.24;-
May 4, 2019 7:00 AM;May 4, 2019 8:00 AM;0.00;-561.00;16.53;-
May 4, 2019 8:00 AM;May 4, 2019 9:00 AM;0.00;-493.00;1.47;-
May 4, 2019 9:00 AM;May 4, 2019 10:00 AM;210.00;0.00;39.08;-
May 4, 2019 10:00 AM;May 4, 2019 11:00 AM;328.00;-97.00;40.76;-
May 4, 2019 11:00 AM;May 4, 2019 12:00 PM;577.00;0.00;48.26;-
May 4, 2019 12:00 PM;May 4, 2019 1:00 PM;0.00;-381.00;18.21;-
May 4, 2019 1:00 PM;May 4, 2019 2:00 PM;0.00;-1,104.00;16.61;-
May 4, 2019 2:00 PM;May 4, 2019 3:00 PM;0.00;-442.00;2.96;-
May 4, 2019 3:00 PM;May 4, 2019 4:00 PM;0.00;-373.00;14.45;-
May 4, 2019 4:00 PM;May 4, 2019 5:00 PM;0.00;-455.00;20.76;-
May 4, 2019 5:00 PM;May 4, 2019 6:00 PM;91.00;-53.00;47.35;-
May 4, 2019 6:00 PM;May 4, 2019 7:00 PM;595.00;0.00;43.64;-
May 4, 2019 7:00 PM;May 4, 2019 8:00 PM;99.00;-112.00;36.47;-
May 4, 2019 8:00 PM;May 4, 2019 9:00 PM;917.00;0.00;50.01;-
May 4, 2019 9:00 PM;May 4, 2019 10:00 PM;549.00;0.00;43.72;-
May 4, 2019 10:00 PM;May 4, 2019 11:00 PM;194.00;0.00;40.90;-
May 4, 2019 11:00 PM;May 5, 2019 12:00 AM;0.00;-1,099.00;20.50;-
May 5, 2019 12:00 AM;May 5, 2019 1:00 AM;0.00;-1,058.00;14.80;-
May 5, 2019 1:00 AM;May 5, 2019 2:00 AM;0.00;-847.00;14.87;-
May 5, 2019 2:00 AM;May 5, 2019 3:00 AM;0.00;-912.00;15.64;-
May 5, 2019 3:00 AM;May 5, 2019 4:00 AM;55.00;-232.00;22.30;-
May 5, 2019 4:00 AM;May 5, 2019 5:00 AM;524.00;0.00;52.36;-
May 5, 2019 5:00 AM;May 5, 2019 6:00 AM;4.00;-344.00;21.64;-
May 5, 2019 6:00 AM;May 5, 2019 7:00 AM;0.00;-422.00;12.81;-
May 5, 2019 7:00 AM;May 5, 2019 8:00 AM;38.00;-15.00;38.84;-
May 5, 2019 8:00 AM;May 5, 2019 9:00 AM;669.00;-35.00;52.38;-
May 5, 2019 9:00 AM;May 5, 2019 10:00 AM;54.00;-388.00;26.35;-
May 5, 2019 10:00 AM;May 5, 2019 11:00 AM;243.00;0.00;45.75;-
May 5, 2019 11:00 AM;May 5, 2019 12:00 PM;924.00;0.00;66.30;-
May 5, 2019 12:00 PM;May 5, 2019 1:00 PM;446.00;0.00;42.20;-
May 5, 2019 1:00 PM;May 5, 2019 2:00 PM;715.00;0.00;42.45;-
May 5, 2019 2:00 PM;May 5, 2019 3:00 PM;273.00;-23.00;35.45;-
May 5, 2019 3:00 PM;May 5, 2019 4:00 PM;1.00;-191.00;-21.74;-
May 5, 2019 4:00 PM;May 5, 2019 5:00 PM;128.00;-98.00;24.77;-
May 5, 2019 5:00 PM;May 5, 2019 6:00 PM;910.00;0.00;46.75;-
May 5, 2019 6:00 PM;May 5, 2019 7:00 PM;473.00;0.00;40.02;-
May 5, 2019 7:00 PM;May 5, 2019 8:00 PM;899.00;0.00;43.34;-
May 5, 2019 8:00 PM;May 5, 2019 9:00 PM;309.00;0.00;48.50;-
May 5, 2019 9:00 PM;May 5, 2019 10:00 PM;660.00;0.00;50.39;-
May 5, 2019 10:00 PM;May 5, 2019 11:00 PM;104.00;-118.00;36.87;-
May 5, 2019 11:00 PM;May 6, 2019 12:00 AM;230.00;-48.00;23.67;-
May 6, 2019 12:00 AM;May 6, 2019 1:00 AM;142.00;-8.00;36.16;-
May 6, 2019 1:00 AM;May 6, 2019 2:00 AM;0.00;-296.00;13.44;-
May 6, 2019 2:00 AM;May 6, 2019 3:00 AM;0.00;-358.00;21.08;-
May 6, 2019 3:00 AM;May 6, 2019 4:00 AM;0.00;-172.00;11.75;-
May 6, 2019 4:00 AM;May 6, 2019 5:00 AM;186.00;-27.00;38.58;-
May 6, 2019 5:00 AM;May 6, 2019 6:00 AM;1,129.00;0.00;48.86;-
May 6, 2019 6:00 AM;May 6, 2019 7:00 AM;1,116.00;0.00;57.22;-
May 6, 2019 7:00 AM;May 6, 2019 8:00 AM;1,248.00;0.00;67.44;-
May 6, 2019 8:00 AM;May 6, 2019 9:00 AM;301.00;-316.00;93.43;-
May 6, 2019 9:00 AM;May 6, 2019 10:00 AM;0.00;-1,090.00;17.40;-
May 6, 2019 10:00 AM;May 6, 2019 11:00 AM;921.00;-74.00;43.89;-
